N,rc,seed,Re_eff,eps_bind,eps_tot,n_mergers,N_final
500,0.01,0,1000.0,0.18947184467519695,0.21396652011231346,61,470
500,0.01,1,1000.0,0.1863135061316031,0.20760078416939415,56,472
500,0.01,2,1000.0,0.18363518454366237,0.20031995293954824,57,472
500,0.01,3,1000.0,0.17694439669010642,0.19548393624501212,55,473
500,0.01,4,1000.0,0.18278346001735507,0.20349211896343475,64,468
500,0.005,0,2000.0,0.19258272826059267,0.21707740369770917,122,439
500,0.005,1,2000.0,0.18942438971699882,0.21071166775478986,112,444
500,0.005,2,2000.0,0.18674606812905808,0.20343083652494395,115,443
500,0.005,3,2000.0,0.18005528027550213,0.19859481983040783,110,445
500,0.005,4,2000.0,0.18589434360275078,0.20660300254883046,129,436
500,0.002,0,5000.0,0.1998889088971651,0.2243835843342816,305,348
500,0.002,1,5000.0,0.19673057035357125,0.2180178483913623,280,360
500,0.002,2,5000.0,0.19405224876563051,0.21073701716151638,288,356
500,0.002,3,5000.0,0.18736146091207456,0.20590100046698026,276,362
500,0.002,4,5000.0,0.1932005242393232,0.2139091831854029,322,339
1000,0.01,0,1017.6091259055681,0.1891304366842787,0.2108286922798712,107,947
1000,0.01,1,1017.6091259055681,0.18951632318946682,0.20510258551694716,127,937
1000,0.01,2,1017.6091259055681,0.1840022719707056,0.20321477398082033,111,945
1000,0.01,3,1017.6091259055681,0.18353013224906348,0.20213003681766603,126,937
1000,0.01,4,1017.6091259055681,0.18200580195306942,0.20676687529792248,123,939
1000,0.005,0,2035.2182518111363,0.1922857383032125,0.21398399389880499,215,893
1000,0.005,1,2035.2182518111363,0.1926716248084006,0.20825788713588095,255,873
1000,0.005,2,2035.2182518111363,0.1871575735896394,0.20637007559975412,223,889
1000,0.005,3,2035.2182518111363,0.18668543386799727,0.20528533843659982,253,874
1000,0.005,4,2035.2182518111363,0.18516110357200322,0.20992217691685627,246,877
1000,0.002,0,5088.045629527841,0.19966504890950773,0.22136330450510022,539,731
1000,0.002,1,5088.045629527841,0.20005093541469585,0.21563719774217618,639,681
1000,0.002,2,5088.045629527841,0.19453688419593462,0.21374938620604936,558,721
1000,0.002,3,5088.045629527841,0.1940647444742925,0.21266464904289506,633,684
1000,0.002,4,5088.045629527841,0.19254041417829845,0.2173014875231515,616,692
2000,0.01,0,1039.7940008672037,0.18262559909599543,0.20709723623833629,238,1881
2000,0.01,1,1039.7940008672037,0.18538509402233827,0.2040096106587332,213,1894
2000,0.01,2,1039.7940008672037,0.18820628154515848,0.208209115919138,256,1872
2000,0.01,3,1039.7940008672037,0.17591173319945624,0.2005610511761499,251,1875
2000,0.01,4,1039.7940008672037,0.18414736914943514,0.2070437727901039,222,1889
2000,0.005,0,2079.5880017344075,0.18583640148374286,0.21030803862608372,476,1762
2000,0.005,1,2079.5880017344075,0.1885958964100857,0.20722041304648062,426,1787
2000,0.005,2,2079.5880017344075,0.1914170839329059,0.21141991830688542,513,1744
2000,0.005,3,2079.5880017344075,0.17912253558720367,0.20377185356389732,503,1749
2000,0.005,4,2079.5880017344075,0.18735817153718257,0.21025457517785134,444,1778
2000,0.002,0,5198.970004336019,0.1933057505322455,0.21777738767458635,1192,1404
2000,0.002,1,5198.970004336019,0.19606524545858833,0.21468976209498325,1065,1468
2000,0.002,2,5198.970004336019,0.19888643298140854,0.21888926735538805,1283,1359
2000,0.002,3,5198.970004336019,0.1865918846357063,0.21124120261239995,1257,1372
2000,0.002,4,5198.970004336019,0.1948275205856852,0.21772392422635398,1111,1445
