B_born,B_rel,G_born,G_rel,N,P,c2,maxF,nb,phi,sec,seed,status,z
43.66655341140443,29.220485078427117,26.000160116392244,2.461629961547395,128,0.16680761622147808,0.22828503967521185,1.5378328558496301e-09,123,0.65,1.2171764373779297,0,accepted,6.390243902439025
44.99984737066097,30.411670226929893,28.454159995522357,0.4741065681957437,128,0.19901859841225086,0.2375911736478898,3.0339935754714054e-09,126,0.65,0.9634556770324707,1,accepted,6.428571428571429
47.110703118371326,31.594035024256353,25.646551370331736,1.273167488196151,128,0.32528307560286857,0.24682839862700276,3.0317513061671464e-09,127,0.65,0.754004716873169,2,accepted,6.677165354330708
47.77556738455317,32.90960151358559,31.181500672381972,6.455437521736332,128,0.7573399665833529,0.25710626182488744,7.657678005590363e-09,124,0.65,0.6971158981323242,3,accepted,6.935483870967742
49.21983083421094,35.67446568172867,27.793083050565894,2.1514968646354298,128,0.8060048542907307,0.27870676313850523,4.691428259762098e-09,126,0.655,0.5559959411621094,0,accepted,7.031746031746032
46.66599713486094,31.88132306788483,27.20677108628135,0.8916912961415591,128,0.4122759198043751,0.24907283646785022,3.377800654631724e-09,125,0.655,0.7696483135223389,1,accepted,6.72
48.11019764901769,34.69902202227994,28.141312907800085,1.1957360073224983,128,0.5036082583455807,0.27108610954906204,5.527203941714173e-09,128,0.655,0.5373296737670898,2,accepted,6.765625
46.55484775089585,31.642823907624418,28.041845573298463,0.8393645403803731,128,0.41859855275933494,0.24720956177831577,5.868596920921565e-09,126,0.655,0.9543583393096924,3,accepted,6.650793650793651
47.88760868281482,36.60444588445819,27.32340172871698,3.7420756060231035,128,0.6094083114366756,0.2859722334723296,4.28600407074986e-09,125,0.662,0.8543374538421631,0,accepted,6.896
49.66415957611015,36.09184274472232,27.57570408418629,5.3306205039685715,128,0.8304603652519308,0.28196752144314313,3.2279423405057184e-09,127,0.662,0.5516214370727539,1,accepted,7.039370078740157
50.885984205295024,35.02246981469159,28.356322368616883,5.893563266369039,128,0.890287882198289,0.27361304542727805,1.9778060202503382e-08,128,0.662,0.9746217727661133,2,accepted,7.15625
48.997611433729,35.395151136034556,27.472965569425643,6.000981047399819,128,0.8030200139536604,0.27652461825026997,3.663174001113101e-09,125,0.662,0.7781205177307129,3,accepted,7.056
