case,method(best),MAE,MAPE[%] (pred denom),Spearman $\rho$
2D Turbulence,gamma2,0.27466049890652044,68.82002161947355,-0.2524026400165001
2D Turbulence,lambda_ci,0.25452938795448204,64.39451134231271,-0.25459377871111694
2D Turbulence,ph,0.23582821198981996,59.8784579664558,-0.26044025275157967
Ocean,gamma2,12.946709193942375,37.299904318151256,-0.412002887518047
Ocean,lambda_ci,2.607035796975787,7.510884335129629,0.5072358577241107
Ocean,ph,3.261585058824416,9.432200708550294,0.05217876361727261
TC MultiVortex (strong),gamma2,1.6222694891382878,55.908301314296395,0.21507565672285453
TC MultiVortex (strong),lambda_ci,0.599286754819027,20.826965979180493,-0.08277314233213957
TC MultiVortex (strong),ph,0.5960696055695989,20.58463551295491,-0.06534322089513059
Typhoon,gamma2,1.4961754375808731,37.41612722842888,0.6594112463202895
Typhoon,lambda_ci,0.18729022569254228,4.655742381704178,0.8039519621997637
Typhoon,ph,0.18650265229616955,4.64892302607513,0.7963739148369677
